,Cbal,Cdur,Chist,Camt,Sbal,InRate,Oparties,age,inPlans,NumCred,Ndepend,Cpur_domestic,Cpur_education,Cpur_electronics,Cpur_miscellaneous,Cpur_vehicle,Edur_4 to 7 years,Edur_less than 1 year,Edur_more than 7 years,Edur_not employed,Htype_own,Htype_pays rent,JobType_employee with official position,JobType_non resident either unemployed or  unskilled ,JobType_resident unskilled,0
401,-1,15,0,17090,500,2,0,36,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,
698,0,24,0,13810,500,2,1,31,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
146,0,12,-1,19230,500,4,0,43,0,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0
897,1,9,-1,11420,500,2,0,37,0,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,
705,1,12,0,11430,500,3,1,40,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,
458,-1,6,0,11910,3000,3,0,43,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
349,2,12,-1,9270,7500,4,0,28,0,3,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,
942,0,12,-1,20840,500,2,0,49,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,
962,-1,10,-1,22290,500,1,0,48,0,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,
237,0,10,0,12750,0,4,1,45,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1.0
914,0,30,-1,28190,500,4,0,33,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
301,2,12,0,33870,0,2,0,37,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,
347,-1,15,0,10410,500,4,0,27,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,
549,0,15,0,12880,0,4,0,45,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,
386,-1,36,0,18300,500,4,0,34,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,
448,0,24,0,14010,500,4,0,28,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
640,0,12,0,11110,7500,4,0,29,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,
314,1,60,0,147700,3000,3,0,60,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
105,0,6,0,29660,7500,1,0,32,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
163,0,24,0,29660,0,4,0,32,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
994,1,36,0,22130,500,4,0,57,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,
837,0,12,-1,15800,10000,3,0,35,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,
127,1,16,-1,11630,500,2,0,68,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.0
702,-1,12,0,22020,500,4,0,24,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,
635,0,6,0,12240,7500,2,0,50,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
469,-1,6,0,6500,500,3,0,41,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,
753,-1,48,0,30390,500,3,0,54,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
971,-1,24,0,40080,500,2,0,27,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
378,-1,42,-1,33820,500,4,1,65,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,
31,-1,12,-1,13970,500,4,0,54,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1.0
700,0,15,-1,50330,0,1,0,59,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
697,2,15,-1,12590,0,3,0,39,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
303,0,6,0,17540,500,1,0,21,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,
610,0,24,-1,41270,3000,3,0,27,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
112,1,24,0,20520,500,3,0,34,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
749,1,15,0,17660,500,2,0,26,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,
132,1,27,0,39030,500,4,0,36,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
970,1,18,0,19010,10000,3,0,36,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,
288,0,6,0,17310,3000,1,0,34,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0
708,1,12,-1,36050,500,1,0,28,0,3,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,
527,-1,12,0,12770,500,4,1,21,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,
457,0,36,-1,71150,500,2,0,23,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,
370,0,5,0,34360,500,1,0,74,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,
261,-1,24,0,19260,500,4,0,32,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
209,0,24,0,9870,0,4,0,25,0,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1.0
410,1,24,0,30800,3000,3,0,22,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,
855,1,48,0,184120,500,1,0,32,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
354,-1,24,0,13690,0,4,0,35,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
159,0,10,0,13520,500,2,0,64,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
487,0,24,0,15400,500,3,0,32,1,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,
666,0,15,-1,13040,7500,2,0,47,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,
97,-1,12,0,3270,500,4,0,45,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
466,0,15,-1,15200,3000,4,0,31,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,
654,1,60,0,140150,500,4,0,27,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,
279,1,10,0,15090,500,4,0,31,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0
945,0,36,0,90430,0,2,0,35,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
186,0,12,-1,7050,500,4,0,52,0,3,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1.0
